redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
21226,56805,77683,1067,1896,65,1258,160000,42.3906831089,-71.1571548473
23316,37760,86761,7451,3146,80,1486,160000,42.3907805133,-71.1571924211
45254,47844,52069,7776,5876,48,1133,160000,42.3908779178,-71.1572299949
44720,49143,51516,7485,5833,27,1276,160000,42.3908813,-71.1572313
15465,62301,65198,5616,7092,55,4273,160000,42.3909753222,-71.1572675688
15122,59840,67041,5624,9140,34,3199,160000,42.3909783,-71.1572658
14858,63044,63158,5343,9164,12,4421,160000,42.3909792571,-71.1572661404
57961,35090,48328,1849,16615,3,154,160000,42.3910773277,-71.1572945619
55705,36277,54994,2709,10163,18,134,160000,42.3911763554,-71.1573233239
62282,35522,52343,1865,7689,3,296,160000,42.391275383,-71.157352086
58878,27008,67656,724,4865,34,835,160000,42.3913744107,-71.157380848
39299,40634,71499,525,6603,67,1373,160000,42.3914734384,-71.1574096102
51038,32296,68007,2253,5830,65,511,160000,42.3915724661,-71.1574383723
50438,31798,69598,3349,3887,150,780,160000,42.3916714938,-71.1574671345
37377,33518,83267,520,2676,62,2580,160000,42.391733,-71.157485
36950,33445,83627,820,2462,104,2592,160000,42.3917705215,-71.1574958968
41479,29855,82358,430,2838,63,2977,160000,42.391831312,-71.1575179577
55870,44914,48860,627,2800,138,6791,160000,42.3919296239,-71.1575509154
52574,52326,46398,1090,5120,106,2386,160000,42.3920279359,-71.1575838732
53889,42807,56774,745,3476,2,2307,160000,42.3921262478,-71.157616831
53828,32746,63705,801,6020,11,2889,160000,42.3922245598,-71.1576497889
54603,32376,63513,631,6100,28,2749,160000,42.392258,-71.157661
54006,36741,58367,956,5359,87,4484,160000,42.3923228717,-71.1576827469
54660,36401,58446,1338,5680,87,3388,160000,42.3923568002,-71.1576911624
21813,42007,89726,883,3021,115,2435,160000,42.3924556005,-71.1577213249
39046,53317,61603,487,3064,74,2409,160000,42.3925544007,-71.1577514874
33933,36198,84322,388,2163,41,2955,160000,42.392653201,-71.15778165
36801,70435,47612,194,2351,5,2602,160000,42.392674,-71.157788
37050,70426,46290,161,2513,38,3522,160000,42.3927520012,-71.1578118126
61265,46384,46493,151,2753,35,2919,160000,42.392773167,-71.1578158688
31218,67496,53673,472,4500,7,2634,160000,42.392872334,-71.1578437376
49726,42815,58221,302,4317,101,4518,160000,42.392971501,-71.1578716065
85430,15460,51451,1040,5907,56,656,160000,42.393070668,-71.1578994755
85918,14359,51069,1478,6298,70,808,160000,42.393101,-71.157908
11121,59271,82063,2774,3322,50,1399,160000,42.393169835,-71.1579273444
11135,58770,81140,3249,3709,64,1933,160000,42.3931998907,-71.1579376143
18234,54882,72372,8223,5493,37,759,160000,42.393288,-71.157964
17740,54431,71472,9554,5858,46,899,160000,42.3932987814,-71.1579672286
69629,21602,63256,308,4802,24,379,160000,42.393386024,-71.1579984951
29623,29982,95847,615,1802,110,2021,160000,42.393484048,-71.1580329903
63867,34323,54402,635,5839,112,822,160000,42.393582072,-71.1580674855
55072,46837,46031,2048,9855,19,138,160000,42.393629,-71.158084
54719,48350,45031,2239,9424,21,216,160000,42.393680096,-71.1581019808
39121,85756,24475,770,8504,16,1358,160000,42.393727567,-71.1581155313
51612,77748,22196,861,6429,30,1124,160000,42.3938261339,-71.1581470627
56604,58301,37558,402,6621,3,511,160000,42.3939247009,-71.1581785942
50279,47661,53761,228,7666,3,402,160000,42.3940232679,-71.1582101257
50253,47747,53765,175,7656,5,399,160000,42.394026,-71.158211
69658,16282,67335,1127,4719,9,870,160000,42.3941218348,-71.1582416572
69499,16393,67374,1083,4742,14,895,160000,42.3941245637,-71.15824255
77754,11748,61821,826,7213,13,625,160000,42.3942231275,-71.1582741001
76519,16140,61743,825,4296,22,455,160000,42.3943216912,-71.1583056502
74803,15890,62157,632,5945,7,566,160000,42.394420255,-71.1583372004
42575,19668,90074,1900,2466,122,3195,160000,42.3945188187,-71.1583687506
