redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
74062, 70135, 5260, 354, 9956, 16, 217, 160000, 40.7573885089, -73.9933613398
147584, 10587, 78, 21, 1709, 9, 12, 160000, 40.7573889, -73.9958133
37354, 39947, 56159, 14708, 9839, 49, 1944, 160000, 40.7573939934, -73.9955441218
39523, 46880, 46853, 14128, 11259, 83, 1274, 160000, 40.7574001, -73.9955483
153430, 5843, 50, 7, 661, 9, 0, 160000, 40.7574135, -73.9958896
38709, 43069, 51655, 13670, 10134, 63, 2700, 160000, 40.7574146624, -73.9954848353
36503, 49381, 47303, 13644, 12222, 111, 836, 160000, 40.7574203, -73.9954948
151849, 7130, 55, 5, 960, 0, 1, 160000, 40.757434184, -73.9959395041
62358, 35919, 52510, 1550, 5592, 145, 1926, 160000, 40.7574452819, -73.995428635
51823, 95912, 4503, 408, 6944, 14, 396, 160000, 40.7574595178, -73.9934566797
51872, 37919, 59486, 2026, 5073, 119, 3505, 160000, 40.757459, -73.9954304
51173, 96088, 4443, 269, 7657, 6, 364, 160000, 40.7574678, -73.9934678
150282, 8403, 107, 47, 1137, 16, 8, 160000, 40.7574828, -73.9960568
60222, 52277, 39286, 1177, 4690, 35, 2313, 160000, 40.7574832461, -73.9953900524
60085, 88352, 3887, 214, 7194, 2, 266, 160000, 40.7575064, -73.9935187
58233, 54199, 39210, 1967, 4701, 34, 1656, 160000, 40.7575235785, -73.9953273987
51823, 95912, 4503, 408, 6944, 14, 396, 160000, 40.7575305268, -73.9935520197
51173, 96088, 4443, 269, 7657, 6, 364, 160000, 40.7575394571, -73.993562291
61645, 54678, 36354, 784, 5187, 40, 1312, 160000, 40.7575506, -73.9952843
61366, 85147, 3762, 254, 9312, 14, 145, 160000, 40.7575511, -73.9936099
60085, 88352, 3887, 214, 7194, 2, 266, 160000, 40.7575614205, -73.9936309567
56555, 53343, 36174, 2234, 9774, 72, 1848, 160000, 40.7575881571, -73.9952243973
61366, 85147, 3762, 254, 9312, 14, 145, 160000, 40.7575991515, -73.9937276009
24426, 32392, 89222, 5153, 4595, 209, 4003, 160000, 40.7576125, -73.9951854
25222, 33844, 87162, 4121, 5188, 204, 4259, 160000, 40.7576151123, -73.9951812262
35455, 32698, 85554, 1075, 1847, 280, 3091, 160000, 40.7576472031, -73.9938453018
43180, 65246, 34599, 4576, 10227, 45, 2127, 160000, 40.7576656, -73.995083
43481, 60252, 38770, 5256, 10047, 81, 2113, 160000, 40.7576697125, -73.9950750693
37153, 27731, 89853, 705, 1596, 150, 2812, 160000, 40.7576952546, -73.9939630028
35982, 27996, 90544, 787, 1486, 189, 3016, 160000, 40.7577055, -73.9939881
43180, 65246, 34599, 4576, 10227, 45, 2127, 160000, 40.7577077435, -73.9949614177
45531, 61476, 45157, 591, 2956, 12, 4277, 160000, 40.7577433062, -73.9940807039
43163, 61520, 47442, 824, 2989, 10, 4052, 160000, 40.7577462, -73.9941034
44376, 61391, 45100, 790, 3402, 16, 4925, 160000, 40.7577482805, -73.994109294
41214, 29208, 81236, 1205, 3171, 49, 3917, 160000, 40.7577726, -73.9941866
32780, 27982, 82028, 4657, 6858, 49, 5646, 160000, 40.7577804343, -73.9948506783
40665, 30302, 80776, 766, 3897, 67, 3527, 160000, 40.7577853318, -73.9942267244
39356, 29027, 83927, 1305, 2564, 42, 3779, 160000, 40.757795, -73.9942778
31801, 29705, 80847, 5044, 7959, 39, 4605, 160000, 40.7577989795, -73.9947700685
28858, 54236, 65188, 1430, 5717, 28, 4543, 160000, 40.7578038393, -73.9943137885
60757, 12304, 70259, 9268, 5327, 52, 2033, 160000, 40.7578045, -73.9947208
57778, 11096, 68235, 12485, 6050, 57, 4299, 160000, 40.757810692, -73.9946848012
53760, 42798, 38018, 5800, 9011, 39, 10574, 160000, 40.7578112, -73.9943717
59972, 11413, 69451, 10650, 5564, 40, 2910, 160000, 40.7578138, -73.9946378
48468, 46332, 39635, 4498, 10801, 36, 10230, 160000, 40.7578183, -73.9944511
45449, 46709, 41837, 4520, 11237, 53, 10195, 160000, 40.7578195, -73.9945516
48468, 46332, 39635, 4498, 10801, 36, 10230, 160000, 40.7578198963, -73.9945847912
53760, 42798, 38018, 5800, 9011, 39, 10574, 160000, 40.7578230738, -73.9945044857
29355, 104865, 16173, 1527, 3530, 2, 4548, 160000, 40.7573175, -73.993266
42705, 34914, 70667, 1256, 4587, 29, 5842, 160000, 40.7573687925, -73.9956822547
45156, 27319, 76304, 2681, 3849, 21, 4670, 160000, 40.7573738348, -73.9957665736
38038, 42483, 63622, 1092, 7219, 21, 7525, 160000, 40.7573773, -73.9956039931
48604, 28566, 68624, 879, 8731, 9, 4587, 160000, 40.7573773, -73.995676
48489, 22832, 76658, 2367, 6502, 15, 3137, 160000, 40.7573773, -73.9957377
41601, 37013, 65876, 483, 9152, 16, 5859, 160000, 40.7573853, -73.9956128
119147, 38452, 155, 16, 2198, 18, 14, 160000, 40.7573855679, -73.9958222082
29355, 104865, 16173, 1527, 3530, 2, 4548, 160000, 40.7573885089, -73.9933613398
125563, 32476, 51, 0, 1905, 0, 5, 160000, 40.7573889, -73.9958133
39195, 38400, 67102, 456, 8905, 20, 5922, 160000, 40.7573939934, -73.9955441218
43600, 36510, 64904, 484, 8984, 16, 5502, 160000, 40.7574001, -73.9955483
142416, 16835, 3, 0, 745, 1, 0, 160000, 40.7574135, -73.9958896
41601, 37013, 65876, 483, 9152, 16, 5859, 160000, 40.7574146624, -73.9954848353
48350, 34926, 62799, 369, 8890, 62, 4604, 160000, 40.7574203, -73.9954948
142578, 16743, 0, 0, 679, 0, 0, 160000, 40.757434184, -73.9959395041
61882, 55326, 32215, 388, 7905, 79, 2205, 160000, 40.7574452819, -73.995428635
29448, 101613, 23190, 1428, 2019, 20, 2282, 160000, 40.7574595178, -73.9934566797
53717, 63866, 32429, 615, 6889, 94, 2390, 160000, 40.757459, -73.9954304
29401, 100989, 22621, 724, 2535, 20, 3710, 160000, 40.7574678, -73.9934678
122926, 35739, 1, 0, 1333, 1, 0, 160000, 40.7574828, -73.9960568
37046, 60404, 41460, 6232, 12539, 29, 2290, 160000, 40.7574832461, -73.9953900524
29536, 97183, 24020, 2008, 4179, 6, 3068, 160000, 40.7575064, -73.9935187
36281, 59638, 41852, 7485, 12232, 28, 2484, 160000, 40.7575235785, -73.9953273987
29448, 101613, 23190, 1428, 2019, 20, 2282, 160000, 40.7575305268, -73.9935520197
29401, 100989, 22621, 724, 2535, 20, 3710, 160000, 40.7575394571, -73.993562291
42608, 54918, 44725, 4330, 11221, 34, 2164, 160000, 40.7575506, -73.9952843
28608, 96347, 25188, 2306, 3925, 12, 3614, 160000, 40.7575511, -73.9936099
29536, 97183, 24020, 2008, 4179, 6, 3068, 160000, 40.7575614205, -73.9936309567
49554, 42973, 56025, 1641, 6662, 33, 3112, 160000, 40.7575881571, -73.9952243973
28608, 96347, 25188, 2306, 3925, 12, 3614, 160000, 40.7575991515, -73.9937276009
50287, 39887, 45238, 4778, 6756, 124, 12930, 160000, 40.7576125, -73.9951854
52339, 37191, 48789, 4590, 7099, 97, 9895, 160000, 40.7576151123, -73.9951812262
52002, 25003, 79493, 403, 1750, 100, 1249, 160000, 40.7576472031, -73.9938453018
49004, 25398, 76951, 1042, 4598, 58, 2949, 160000, 40.7576656, -73.995083
48128, 27250, 76540, 1109, 4337, 103, 2533, 160000, 40.7576697125, -73.9950750693
41130, 35494, 78210, 724, 2839, 138, 1465, 160000, 40.7576952546, -73.9939630028
43513, 34418, 77000, 829, 2954, 149, 1137, 160000, 40.7577055, -73.9939881
49004, 25398, 76951, 1042, 4598, 58, 2949, 160000, 40.7577077435, -73.9949614177
50194, 40340, 64194, 587, 3256, 21, 1408, 160000, 40.7577433062, -73.9940807039
49095, 42664, 63397, 517, 3008, 14, 1305, 160000, 40.7577462, -73.9941034
50071, 40950, 63863, 463, 3141, 4, 1508, 160000, 40.7577482805, -73.994109294
38213, 22371, 95270, 220, 2630, 14, 1282, 160000, 40.7577726, -73.9941866
42629, 11587, 101004, 324, 1581, 74, 2801, 160000, 40.7577804343, -73.9948506783
36420, 23185, 96720, 194, 2423, 18, 1040, 160000, 40.7577853318, -73.9942267244
42067, 10528, 101512, 468, 1386, 55, 3984, 160000, 40.7577989795, -73.9947700685
38399, 18090, 89740, 6444, 1984, 125, 5218, 160000, 40.7578038393, -73.9943137885
32818, 23426, 93537, 5142, 2013, 152, 2912, 160000, 40.7578045, -73.9947208
36857, 13778, 101008, 3897, 1727, 166, 2567, 160000, 40.757810692, -73.9946848012
49141, 32971, 60163, 6080, 3870, 184, 7591, 160000, 40.7578112, -73.9943717
35764, 14653, 99100, 5393, 2405, 94, 2591, 160000, 40.7578138, -73.9946378
50554, 33735, 58581, 7090, 3240, 233, 6567, 160000, 40.7578183, -73.9944511
50616, 34664, 57492, 5972, 3607, 159, 7490, 160000, 40.7578195, -73.9945516
50554, 33735, 58581, 7090, 3240, 233, 6567, 160000, 40.7578198963, -73.9945847912
49141, 32971, 60163, 6080, 3870, 184, 7591, 160000, 40.7578230738, -73.9945044857
65234, 20933, 63737, 769, 3463, 104, 5760, 160000, 40.708731, -74.013263
65234, 20933, 63737, 769, 3463, 104, 5760, 160000, 40.7087806686, -74.0133794396
65234, 20933, 63737, 769, 3463, 104, 5760, 160000, 40.7088303371, -74.0134958793
59033, 15805, 76205, 1245, 1979, 67, 5666, 160000, 40.7088800057, -74.0136123191
59033, 15805, 76205, 1245, 1979, 67, 5666, 160000, 40.7089296742, -74.013728759
33306, 13993, 106303, 742, 3242, 87, 2327, 160000, 40.7089793428, -74.013845199
29432, 13362, 109969, 808, 4336, 64, 2029, 160000, 40.7090290113, -74.013961639
26911, 10401, 116896, 1011, 3395, 97, 1289, 160000, 40.7090696, -74.0140568
26601, 11429, 117018, 1030, 2820, 70, 1032, 160000, 40.7090786799, -74.0140780792
35903, 14589, 100707, 1670, 2892, 163, 4076, 160000, 40.7091191266, -74.0141733454
42882, 9242, 101942, 969, 2425, 85, 2455, 160000, 40.7091686533, -74.0142898908
41896, 57619, 47286, 627, 9278, 25, 3269, 160000, 40.7092181799, -74.0144064363
41896, 57619, 47286, 627, 9278, 25, 3269, 160000, 40.7092677066, -74.014522982
41896, 57619, 47286, 627, 9278, 25, 3269, 160000, 40.7093172332, -74.0146395277
23208, 73220, 46850, 540, 10271, 31, 5880, 160000, 40.7093667599, -74.0147560735
23208, 73220, 46850, 540, 10271, 31, 5880, 160000, 40.7094162865, -74.0148726193
23208, 73220, 46850, 540, 10271, 31, 5880, 160000, 40.7094658132, -74.0149891653
47041, 18964, 87064, 1568, 3499, 227, 1637, 160000, 40.708731, -74.013263
47041, 18964, 87064, 1568, 3499, 227, 1637, 160000, 40.7087806686, -74.0133794396
47041, 18964, 87064, 1568, 3499, 227, 1637, 160000, 40.7088303371, -74.0134958793
45535, 25153, 81020, 1656, 4754, 219, 1663, 160000, 40.7088800057, -74.0136123191
45535, 25153, 81020, 1656, 4754, 219, 1663, 160000, 40.7089296742, -74.013728759
50813, 30959, 74185, 241, 2092, 22, 1688, 160000, 40.7089793428, -74.013845199
52204, 23944, 77567, 450, 2985, 39, 2811, 160000, 40.7090290113, -74.013961639
57860, 19902, 77294, 407, 2306, 53, 2178, 160000, 40.7090696, -74.0140568
57775, 20763, 76716, 515, 1924, 57, 2250, 160000, 40.7090786799, -74.0140780792
67639, 26829, 58540, 393, 3712, 35, 2852, 160000, 40.7091191266, -74.0141733454
68335, 17596, 66889, 982, 3390, 141, 2667, 160000, 40.7091686533, -74.0142898908
42055, 62089, 40078, 1718, 11901, 96, 2063, 160000, 40.7092181799, -74.0144064363
42055, 62089, 40078, 1718, 11901, 96, 2063, 160000, 40.7092677066, -74.014522982
42055, 62089, 40078, 1718, 11901, 96, 2063, 160000, 40.7093172332, -74.0146395277
31509, 55478, 56721, 2915, 11623, 88, 1666, 160000, 40.7093667599, -74.0147560735
31509, 55478, 56721, 2915, 11623, 88, 1666, 160000, 40.7094162865, -74.0148726193
31509, 55478, 56721, 2915, 11623, 88, 1666, 160000, 40.7094658132, -74.0149891653
35407, 54600, 62129, 874, 4526, 204, 2260, 160000, 40.7294474, -74.0051812
39379, 88731, 21612, 1175, 4742, 17, 4344, 160000, 40.7294904155, -74.0050602024
46474, 74861, 24907, 482, 4588, 9, 8679, 160000, 40.7295334311, -74.0049392048
31049, 65375, 52596, 216, 2982, 18, 7764, 160000, 40.7295764466, -74.0048182071
27958, 112822, 11400, 286, 2626, 7, 4901, 160000, 40.7296194621, -74.0046972093
39509, 93791, 18824, 432, 4807, 3, 2634, 160000, 40.7296624776, -74.0045762114
57176, 66152, 26688, 943, 3058, 28, 5955, 160000, 40.7297054932, -74.0044552135
50157, 82924, 13160, 550, 2892, 183, 10134, 160000, 40.7297485087, -74.0043342155
50724, 93819, 8510, 289, 2513, 47, 4098, 160000, 40.7297915242, -74.0042132174
49371, 97090, 8755, 508, 1865, 12, 2399, 160000, 40.7298345397, -74.0040922192
46696, 47207, 55049, 3446, 2637, 39, 4926, 160000, 40.7298775553, -74.0039712209
51883, 90093, 9856, 443, 3381, 8, 4336, 160000, 40.7298788, -74.0039677
47593, 101037, 4633, 516, 4052, 22, 2147, 160000, 40.7299168803, -74.0038438551
47484, 100707, 4519, 568, 4223, 11, 2488, 160000, 40.7299205708, -74.0038502226
46555, 92418, 12655, 342, 2247, 1, 5782, 160000, 40.7299549605, -74.0037200102
35411, 109353, 8844, 377, 3066, 34, 2915, 160000, 40.7299930408, -74.0035961651
38593, 103184, 13424, 294, 2375, 13, 2117, 160000, 40.7300311211, -74.00347232
51928, 88789, 13740, 595, 3453, 17, 1478, 160000, 40.7300692013, -74.0033484749
34504, 116406, 2798, 148, 5620, 2, 522, 160000, 40.7301072816, -74.0032246296
16117, 132440, 8366, 121, 1897, 6, 1053, 160000, 40.7301453618, -74.0031007843
40919, 97334, 15308, 837, 2974, 13, 2615, 160000, 40.7301834421, -74.002976939
55270, 86191, 11529, 537, 3527, 71, 2875, 160000, 40.7302215224, -74.0028530935
52648, 97426, 3848, 262, 3660, 23, 2133, 160000, 40.7302596026, -74.002729248
33518, 105669, 14830, 2208, 1849, 6, 1920, 160000, 40.7302976829, -74.0026054024
31985, 40302, 67312, 9327, 6219, 26, 4829, 160000, 40.7303357632, -74.0024815567
31992, 40416, 67179, 9325, 6222, 24, 4842, 160000, 40.7303374, -74.0024762
