hue0,hue1,hue2,hue3,hue4,hue5,total,lat,lng
84287,51500,26732,244446,799,1836,409600,40.7359034151,-73.9936009003
138033,39980,24612,201675,2282,3018,409600,40.7359034151,-73.9936009003
107322,71258,31736,195870,1806,1608,409600,40.7359034151,-73.9936009003
159306,117389,43085,84132,2622,3066,409600,40.7359034201,-73.9946767145
181100,127135,50596,46181,2071,2517,409600,40.7359034201,-73.9946767145
120607,119264,26875,133711,6009,3134,409600,40.7359034201,-73.9946767145
178965,72340,35416,110078,6370,6431,409600,40.7359034201,-73.9946767145
201522,79101,87827,37198,1196,2756,409600,40.7359034251,-73.9957525288
141215,123898,49164,86846,5192,3285,409600,40.7359034251,-73.9957525288
137722,101950,56875,103107,5286,4660,409600,40.7359034251,-73.9957525288
149258,126523,37714,82284,10360,3461,409600,40.7359034251,-73.9957525288
105944,187863,37814,67700,3325,6954,409600,40.7359034301,-73.9968283431
95451,198005,47183,38490,19443,11028,409600,40.7359034301,-73.9968283431
78772,121038,87350,96601,16533,9306,409600,40.7359034301,-73.9968283431
95324,170645,42457,85675,4181,11318,409600,40.7359034301,-73.9968283431
49969,79410,31365,223151,14828,10877,409600,40.7359034351,-73.9979041574
120825,71896,27093,170445,5284,14057,409600,40.7359034351,-73.9979041574
184761,112285,14001,94161,1560,2832,409600,40.7359034351,-73.9979041574
129653,68180,26716,175291,5441,4319,409600,40.7359034351,-73.9979041574
128855,124695,47047,92002,8412,8589,409600,40.7359034401,-73.9989799716
100805,157244,28100,107593,11037,4821,409600,40.7359034401,-73.9989799716
79639,139154,27711,136876,15124,11096,409600,40.7359034401,-73.9989799716
110726,112098,29476,134871,11642,10787,409600,40.7359034401,-73.9989799716
95847,224985,35763,35087,11161,6757,409600,40.7359034451,-74.0000557859
139466,125093,17372,114250,7990,5429,409600,40.7359034451,-74.0000557859
111294,156318,28210,92648,11219,9911,409600,40.7359034451,-74.0000557859
78614,174905,28110,96773,18437,12761,409600,40.7359034451,-74.0000557859
141553,94300,48073,101226,4995,19453,409600,40.7359034501,-74.0011316002
80847,166163,95100,55726,2052,9712,409600,40.7359034501,-74.0011316002
69121,157230,50420,124771,5158,2900,409600,40.7359034501,-74.0011316002
57732,136000,98856,106550,2817,7645,409600,40.7359034501,-74.0011316002
131867,146006,41832,63735,9344,16816,409600,40.7359034551,-74.0022074144
94985,65648,23509,128912,44952,51594,409600,40.7359034551,-74.0022074144
72625,101654,34170,94643,73096,33412,409600,40.7359034551,-74.0022074144
69960,162041,24235,85414,41960,25990,409600,40.7359034551,-74.0022074144
65524,149960,29678,123887,25207,15344,409600,40.7359034601,-74.0032832287
35748,161300,43187,117072,44094,8199,409600,40.7359034601,-74.0032832287
