lat,lng,huegroup
42.3626699949,-71.1021144076,"[3086, 1642, 1256, 1218, 1099, 3570, 5748, 3766, 4573, 2981, 5404, 6164, 5664, 4943, 5640, 6157, 6033, 4004, 2983, 1497, 2148, 1457, 1499, 1376, 1018, 430, 1046, 341, 510, 143, 1209, 923, 778, 918, 1663, 3405, 12257, 17433, 10541, 3618, 5135, 3137, 790, 206, 387, 266, 274, 175, 241, 115, 250, 298, 272, 256, 424, 430, 644, 675, 2901, 2983]"
42.36273433,-71.1022202716,"[4174, 3680, 2481, 2279, 2480, 3632, 3651, 4338, 6773, 5876, 8291, 10501, 11480, 5976, 5169, 4190, 4037, 2543, 1387, 639, 804, 673, 616, 375, 409, 222, 592, 126, 315, 81, 501, 387, 365, 449, 1178, 6191, 11682, 14119, 6353, 1461, 2899, 3154, 637, 741, 1288, 109, 1020, 486, 802, 54, 276, 653, 515, 558, 679, 731, 1494, 1272, 1125, 1031]"
42.362798665,-71.1023261358,"[3963, 3580, 3101, 4173, 4772, 5741, 7058, 9025, 15451, 10338, 15966, 14912, 4349, 2229, 2486, 1040, 1398, 537, 517, 93, 219, 258, 185, 101, 467, 1307, 727, 871, 217, 6, 1172, 2670, 2772, 1074, 4883, 6002, 10600, 2707, 4353, 21, 2897, 866, 174, 151, 152, 7, 802, 7, 60, 3, 11, 185, 84, 33, 307, 845, 562, 599, 653, 261]"
42.3628182297,-71.10235778,"[4136, 3434, 3725, 4356, 5212, 5007, 7282, 8716, 15298, 10550, 15327, 15069, 4432, 2164, 2380, 1025, 1264, 553, 514, 90, 192, 191, 139, 101, 420, 1107, 584, 1440, 408, 29, 1079, 2444, 2821, 858, 4868, 5616, 10784, 3027, 3939, 10, 2771, 1165, 198, 194, 297, 0, 858, 9, 72, 0, 22, 177, 81, 51, 345, 892, 582, 723, 679, 293]"
42.3628822889,-71.1024639501,"[8274, 748, 881, 2396, 5162, 3905, 9550, 6839, 10428, 1235, 6640, 5646, 3841, 3104, 3730, 2079, 3574, 1580, 1380, 255, 571, 604, 988, 627, 909, 4873, 1717, 5086, 1276, 227, 3189, 6879, 11745, 3288, 7723, 5876, 8712, 2242, 2344, 251, 2804, 1696, 462, 174, 401, 41, 666, 117, 188, 8, 68, 233, 165, 214, 434, 900, 338, 513, 144, 60]"
42.3629463482,-71.1025701204,"[1029, 817, 1257, 4679, 11483, 9359, 3207, 2645, 2389, 685, 4216, 6194, 5890, 7468, 6428, 3785, 4400, 2170, 1304, 658, 1129, 1584, 1095, 1083, 1801, 1823, 3441, 3156, 2519, 803, 4873, 5644, 6522, 13391, 13881, 5344, 2634, 1049, 1073, 378, 1571, 1534, 699, 429, 435, 151, 284, 175, 155, 26, 59, 136, 67, 80, 122, 187, 185, 185, 167, 67]"
42.3630104074,-71.1026762907,"[2200, 1719, 2149, 4951, 14628, 14666, 4262, 3685, 5204, 1387, 8018, 13011, 6028, 8749, 10040, 4251, 4408, 3049, 6554, 333, 4744, 1561, 1237, 1131, 959, 1426, 1395, 1140, 976, 338, 1411, 1975, 2266, 1985, 3084, 580, 1440, 762, 902, 355, 1288, 2287, 1592, 1227, 961, 416, 495, 253, 218, 64, 109, 202, 155, 130, 236, 202, 334, 127, 325, 420]"
42.3630744667,-71.1027824611,"[3261, 3024, 3734, 6593, 10623, 9814, 8429, 7490, 7003, 353, 9011, 11091, 4682, 2953, 3143, 1180, 2901, 742, 1193, 120, 429, 1438, 1139, 722, 1023, 1660, 3918, 2269, 1953, 537, 4388, 5600, 5943, 13682, 5398, 1733, 2759, 658, 1051, 1, 1134, 352, 143, 98, 154, 3, 437, 28, 117, 0, 21, 182, 123, 68, 263, 893, 393, 661, 839, 450]"
42.3631385259,-71.1028886317,"[4403, 2177, 3056, 6040, 12141, 11095, 7246, 4358, 4864, 388, 5855, 5925, 2372, 2193, 2054, 517, 2386, 661, 748, 72, 303, 564, 446, 508, 1123, 4445, 2190, 2579, 1671, 331, 4995, 8007, 13361, 10028, 10725, 6941, 5068, 1060, 1398, 13, 1446, 523, 208, 90, 175, 9, 382, 61, 86, 1, 45, 117, 110, 73, 205, 412, 390, 377, 512, 471]"
42.3632025852,-71.1029948024,"[4792, 2352, 2235, 3434, 6414, 6418, 4683, 3639, 6088, 543, 7242, 5554, 3515, 2475, 4442, 2361, 4804, 1984, 2020, 886, 1029, 1048, 901, 808, 1011, 2439, 1628, 3558, 1762, 454, 4279, 4867, 7372, 9891, 18301, 7538, 6169, 1695, 1657, 38, 1719, 531, 198, 134, 473, 7, 777, 48, 107, 2, 40, 175, 98, 156, 472, 813, 495, 597, 496, 336]"
42.3632666445,-71.1031009731,"[6597, 1312, 1050, 1142, 3039, 3009, 3659, 2706, 2914, 154, 5622, 4261, 3433, 2827, 4104, 3861, 4933, 2427, 1725, 722, 939, 1203, 1225, 650, 1424, 3893, 2445, 3288, 1821, 652, 3583, 5291, 6090, 8651, 16025, 12499, 11637, 3900, 3606, 27, 3170, 1477, 648, 204, 574, 28, 831, 88, 174, 12, 65, 275, 180, 127, 346, 889, 343, 990, 608, 625]"
42.3633307037,-71.103207144,"[2121, 1381, 992, 1698, 3714, 5191, 6506, 6680, 7529, 3810, 9739, 10932, 8775, 5131, 5522, 2897, 2856, 1708, 1374, 320, 645, 604, 458, 426, 590, 1134, 1068, 1011, 627, 152, 1698, 1859, 2217, 5617, 14297, 19301, 8721, 3536, 1846, 4, 892, 481, 127, 50, 108, 1, 161, 29, 54, 2, 48, 74, 55, 116, 198, 314, 375, 309, 988, 931]"
42.363394763,-71.103313315,"[5826, 2650, 2675, 4810, 5289, 5194, 5184, 4590, 4615, 1330, 8487, 12239, 6608, 3482, 3644, 1954, 3284, 2111, 1415, 550, 1137, 1155, 1266, 815, 1420, 1900, 2042, 1105, 1378, 417, 2255, 2357, 3948, 3077, 9632, 6823, 8712, 2842, 3408, 64, 3077, 2452, 687, 814, 1134, 50, 1287, 270, 905, 38, 370, 671, 419, 1087, 775, 742, 1296, 748, 954, 534]"
